ID_Partido;Ronda_Global;Equipo_Local;Rival;Jornada_Eq;Fecha;Ubicacion;Estado;Visibilidad;Categoria;Pabellon
RFEVB_2567;6;Valladolid CV Vacceas;METLEN Cáceres;6;08/11/2026 12:15;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;PILAR FDEZ VALDERRAMA
RFEVB_2570;7;Valladolid CV Vacceas;CV Aljafería;7;14/11/2026 20:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;CDM SIGLO XXI
RFEVB_2577;8;Valladolid CV Vacceas;Algaida VC;8;21/11/2026 16:00;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;PABELLÓN FUENTE DE LA MORA
RFEVB_2583;9;Valladolid CV Vacceas;CD San José;9;28/11/2026 20:30;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;CAMPUS DEPORTIVO FUENTE LA MORA
RFEVB_2588;10;Valladolid CV Vacceas;CUV Alcorcón;10;05/12/2026 17:00;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;PILAR FDEZ VALDERRAMA
RFEVB_2596;11;Valladolid CV Vacceas;CVNSL Voleibol Arroyo;11;12/12/2026 17:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;PABELLÓN MUNICIPAL ARROYO DE LA LUZ
RFEVB_2599;12;Valladolid CV Vacceas;V-Valley CV Alcalá;12;19/12/2026 18:30;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;LA NEVERA (PABELLÓN DEMETRIO LOZANO)
RFEVB_2609;13;Valladolid CV Vacceas;Club Voleibol Las Rozas;13;17/01/2027 12:15;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;PILAR FDEZ VALDERRAMA
RFEVB_2610;14;Valladolid CV Vacceas;Emalsa Gran Canaria;14;24/01/2027 10:00;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;PILAR FDEZ VALDERRAMA
RFEVB_2621;15;Valladolid CV Vacceas;Vóley Playa Madrid;15;30/01/2027 18:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;CAJA MÁGICA
RFEVB_2623;16;Valladolid CV Vacceas;Club Voleibol Sanse;16;07/02/2027 10:00;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;PILAR FDEZ VALDERRAMA
RFEVB_2632;17;Valladolid CV Vacceas;METLEN Cáceres;17;13/02/2027 18:30;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;COLEGIO LICENCIADOS REUNIDOS
RFEVB_2638;18;Valladolid CV Vacceas;CV Aljafería;18;21/02/2027 12:15;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;PILAR FDEZ VALDERRAMA
RFEVB_2643;19;Valladolid CV Vacceas;Algaida VC;19;27/02/2027 16:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;PAVELLÓ ANDREU TROBAT - ALGAIDA-
RFEVB_2649;20;Valladolid CV Vacceas;CD San José;20;07/03/2027 10:00;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;PILAR FDEZ VALDERRAMA
RFEVB_2654;21;Valladolid CV Vacceas;CUV Alcorcón;21;13/03/2027 19:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;POLIDEPORTIVO LOS CANTOS
RFEVB_2662;22;Valladolid CV Vacceas;CVNSL Voleibol Arroyo;22;21/03/2027 12:15;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;PILAR FDEZ VALDERRAMA
RFEVB_2536;1;CD San José;METLEN Cáceres;1;03/10/2026 18:30;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;COLEGIO LICENCIADOS REUNIDOS
RFEVB_2539;2;CD San José;CV Aljafería;2;11/10/2026 12:00;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;POLIDEPORTIVO MANUEL SÁNCHEZ CISNEROS
RFEVB_2549;3;CD San José;Algaida VC;3;17/10/2026 16:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;PAVELLÓ ANDREU TROBAT - ALGAIDA-
RFEVB_2550;4;CD San José;Emalsa Gran Canaria;4;24/10/2026 16:00;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;CAMPUS DEPORTIVO FUENTE LA MORA
RFEVB_2561;5;CD San José;CUV Alcorcón;5;31/10/2026 20:30;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;POLIDEPORTIVO MANUEL SÁNCHEZ CISNEROS
RFEVB_2564;6;CD San José;CVNSL Voleibol Arroyo;6;07/11/2026 18:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;PABELLÓN MUNICIPAL ARROYO DE LA LUZ
RFEVB_2572;7;CD San José;V-Valley CV Alcalá;7;14/11/2026 20:30;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;CAMPUS DEPORTIVO FUENTE LA MORA
RFEVB_2576;8;CD San José;Club Voleibol Las Rozas;8;21/11/2026 16:30;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;C. DEPORTIVO Y CULTURAL - LA MARAZUELA
RFEVB_2589;10;CD San José;Vóley Playa Madrid;10;05/12/2026 16:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;C.D.M. ENTREVÍAS
RFEVB_2594;11;CD San José;Club Voleibol Sanse;11;12/12/2026 16:00;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;CAMPUS DEPORTIVO FUENTE LA MORA
RFEVB_2602;12;CD San José;METLEN Cáceres;12;19/12/2026 20:30;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;CAMPUS DEPORTIVO FUENTE LA MORA
RFEVB_2605;13;CD San José;CV Aljafería;13;16/01/2027 20:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;CDM SIGLO XXI
RFEVB_2615;14;CD San José;Algaida VC;14;23/01/2027 16:00;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;CAMPUS DEPORTIVO FUENTE LA MORA
RFEVB_2616;15;CD San José;Emalsa Gran Canaria;15;31/01/2027 17:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;CARLOS GARCÍA SAN ROMAN
RFEVB_2627;16;CD San José;CUV Alcorcón;16;06/02/2027 19:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;POLIDEPORTIVO LOS CANTOS
RFEVB_2629;17;CD San José;CVNSL Voleibol Arroyo;17;13/02/2027 20:30;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;CAMPUS DEPORTIVO FUENTE LA MORA
RFEVB_2634;18;CD San José;V-Valley CV Alcalá;18;20/02/2027 18:30;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;LA NEVERA (PABELLÓN DEMETRIO LOZANO)
RFEVB_2642;19;CD San José;Club Voleibol Las Rozas;19;27/02/2027 20:30;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;CAMPUS DEPORTIVO FUENTE LA MORA
RFEVB_2655;21;CD San José;Vóley Playa Madrid;21;13/03/2027 20:30;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;CAMPUS DEPORTIVO FUENTE LA MORA
RFEVB_2660;22;CD San José;Club Voleibol Sanse;22;20/03/2027 16:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;Pol. Mun. Eduardo López Mateo
RFEVB_2536;1;CD San José;METLEN Cáceres;1;03/10/2026 18:30;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;COLEGIO LICENCIADOS REUNIDOS
RFEVB_2539;2;CD San José;CV Aljafería;2;11/10/2026 12:00;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;POLIDEPORTIVO MANUEL SÁNCHEZ CISNEROS
RFEVB_2549;3;CD San José;Algaida VC;3;17/10/2026 16:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;PAVELLÓ ANDREU TROBAT - ALGAIDA-
RFEVB_2550;4;CD San José;Emalsa Gran Canaria;4;24/10/2026 16:00;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;CAMPUS DEPORTIVO FUENTE LA MORA
RFEVB_2561;5;CD San José;CUV Alcorcón;5;31/10/2026 20:30;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;POLIDEPORTIVO MANUEL SÁNCHEZ CISNEROS
RFEVB_2564;6;CD San José;CVNSL Voleibol Arroyo;6;07/11/2026 18:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;PABELLÓN MUNICIPAL ARROYO DE LA LUZ
RFEVB_2572;7;CD San José;V-Valley CV Alcalá;7;14/11/2026 20:30;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;CAMPUS DEPORTIVO FUENTE LA MORA
RFEVB_2576;8;CD San José;Club Voleibol Las Rozas;8;21/11/2026 16:30;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;C. DEPORTIVO Y CULTURAL - LA MARAZUELA
RFEVB_2583;9;CD San José;Valladolid CV Vacceas;9;28/11/2026 20:30;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;CAMPUS DEPORTIVO FUENTE LA MORA
RFEVB_2589;10;CD San José;Vóley Playa Madrid;10;05/12/2026 16:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;C.D.M. ENTREVÍAS
RFEVB_2594;11;CD San José;Club Voleibol Sanse;11;12/12/2026 16:00;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;CAMPUS DEPORTIVO FUENTE LA MORA
RFEVB_2602;12;CD San José;METLEN Cáceres;12;19/12/2026 20:30;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;CAMPUS DEPORTIVO FUENTE LA MORA
RFEVB_2605;13;CD San José;CV Aljafería;13;16/01/2027 20:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;CDM SIGLO XXI
RFEVB_2615;14;CD San José;Algaida VC;14;23/01/2027 16:00;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;CAMPUS DEPORTIVO FUENTE LA MORA
RFEVB_2616;15;CD San José;Emalsa Gran Canaria;15;31/01/2027 17:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;CARLOS GARCÍA SAN ROMAN
RFEVB_2627;16;CD San José;CUV Alcorcón;16;06/02/2027 19:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;POLIDEPORTIVO LOS CANTOS
RFEVB_2629;17;CD San José;CVNSL Voleibol Arroyo;17;13/02/2027 20:30;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;CAMPUS DEPORTIVO FUENTE LA MORA
RFEVB_2634;18;CD San José;V-Valley CV Alcalá;18;20/02/2027 18:30;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;LA NEVERA (PABELLÓN DEMETRIO LOZANO)
RFEVB_2642;19;CD San José;Club Voleibol Las Rozas;19;27/02/2027 20:30;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;CAMPUS DEPORTIVO FUENTE LA MORA
RFEVB_2649;20;CD San José;Valladolid CV Vacceas;20;07/03/2027 10:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;PILAR FDEZ VALDERRAMA
RFEVB_2655;21;CD San José;Vóley Playa Madrid;21;13/03/2027 20:30;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;CAMPUS DEPORTIVO FUENTE LA MORA
RFEVB_2660;22;CD San José;Club Voleibol Sanse;22;20/03/2027 16:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;Pol. Mun. Eduardo López Mateo
